day,language,part,time_seconds,timestamp
01,rust,1,0.000047,2026-01-06T09:16:44.681818709+00:00
01,rust,2,0.000186,2026-01-06T09:16:44.682196777+00:00
02,rust,1,0.004170,2026-01-06T09:16:44.863632161+00:00
02,rust,2,0.020710,2026-01-06T09:16:44.884617250+00:00
03,rust,1,0.000103,2026-01-06T09:16:45.108093171+00:00
03,rust,2,0.000265,2026-01-06T09:16:45.108582952+00:00
04,rust,1,0.004561,2026-01-06T09:16:45.301837152+00:00
04,rust,2,0.008215,2026-01-06T09:16:45.310345332+00:00
01,python,1,0.002020,2026-01-06T09:17:07.835677
01,python,2,0.002640,2026-01-06T09:17:07.838899
02,python,1,0.607247,2026-01-06T09:17:08.536969
02,python,2,1.314910,2026-01-06T09:17:09.852512
